id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,instagram,url,rss_url,domain,dw_nominate,ideal_point,seniority,next_election,state,district,missed_votes_pct,votes_with_party_pct,chamber,fblike.16.22.5.115,twtrfol-18-23-6-2015
C001061,1790,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001061.json,Emanuel,NA,Cleaver II,D,RepCleaver,emanuelcleaverii,7954512692,,http://cleaver.house.gov,http://cleaver.house.gov/rss.xml,cleaver.house.gov,NA,NA,12,2014,MO,5,18.87,95.35,house,16275,14383
C001062,1805,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001062.json,K.,Michael,Conaway,R,ConawayTX11,mike.conaway,2.03E+14,mikeconawaytx11,http://conaway.house.gov,,conaway.house.gov,NA,NA,12,2014,TX,11,0,94.34,house,8788,4928
C001063,1807,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001063.json,Henry,NA,Cuellar,D,RepCuellar,1.53E+11,1.53E+11,henrycuellar,http://cuellar.house.gov,http://cuellar.house.gov/news/rss.aspx,cuellar.house.gov,NA,NA,12,2014,TX,28,5.66,72,house,14804,9737
C001066,1839,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001066.json,Kathy,NA,Castor,D,USRepKCastor,USRepKathyCastor,NA,usrepkathycastor,http://castor.house.gov,http://castor.house.gov/News/Rss.aspx,castor.house.gov,NA,NA,10,2014,FL,14,0,92.45,house,3863,2251
C001067,1864,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001067.json,Yvette,D.,Clarke,D,YvetteClarke,repyvettedclarke,1.35E+14,repyvettedclarke,http://clarke.house.gov,http://clarke.house.gov/rss.xml,clarke.house.gov,NA,NA,10,2014,NY,9,3.77,96.08,house,9933,11083
C001068,1878,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001068.json,Steve,NA,Cohen,D,RepCohen,CongressmanSteveCohen,1.11E+14,,http://cohen.house.gov,http://cohen.house.gov/rss.xml,cohen.house.gov,NA,NA,10,2014,TN,9,5.66,90,house,9974,12843
C001069,1836,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001069.json,Joe,NA,Courtney,D,RepJoeCourtney,joecourtney,3.30E+11,,http://courtney.house.gov,http://courtney.house.gov/rss/press-releases.xml,courtney.house.gov,NA,NA,10,2014,CT,2,0,96.23,house,4799,9914
C001072,1889,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001072.json,André,NA,Carson,D,RepAndreCarson,CongressmanAndreCarson,1.24E+14,repandrecarson,http://carson.house.gov,http://carson.house.gov/rss.xml,carson.house.gov,NA,NA,10,2014,IN,7,0,96.23,house,8332,11119
C001076,1956,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001076.json,Jason,NA,Chaffetz,R,JasonInTheHouse,CongressmanJasonChaffetz,NA,jasoninthehouse,http://chaffetz.house.gov,http://chaffetz.house.gov/rss.xml,chaffetz.house.gov,NA,NA,8,2014,UT,3,0,92.45,house,3863,89390
C001077,1912,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001077.json,Mike,NA,Coffman,R,RepMikeCoffman,repmikecoffman,3.66E+11,repmikecoffman,http://coffman.house.gov,http://coffman.house.gov/rss.xml,coffman.house.gov,NA,NA,8,2014,CO,6,0,90.57,house,13607,14529
